,house_age,dormitory_type,condition_type
0,new_house,house,regular
1,new_house,house,regular
2,new_house,apartament,regular
3,new_house,house,good
4,new_house,house,regular
5,new_house,house,regular
6,new_house,house,regular
7,new_house,house,regular
8,new_house,house,regular
9,new_house,house,regular
10,new_house,house,regular
11,new_house,apartament,regular
12,new_house,house,regular
13,new_house,house,regular
14,new_house,house,regular
15,new_house,house,regular
16,new_house,house,regular
17,new_house,house,regular
18,new_house,apartament,regular
19,new_house,house,regular
20,new_house,house,regular
21,new_house,house,regular
22,new_house,house,regular
23,new_house,apartament,regular
24,new_house,house,regular
25,new_house,house,good
26,new_house,house,regular
27,new_house,house,good
28,new_house,house,regular
29,new_house,house,regular
30,new_house,house,regular
31,new_house,apartament,regular
32,new_house,house,regular
33,new_house,house,regular
34,new_house,house,regular
35,new_house,house,regular
36,new_house,house,bad
37,new_house,house,regular
38,new_house,house,bad
39,new_house,house,regular
40,new_house,house,regular
41,new_house,house,regular
42,new_house,house,regular
43,new_house,house,regular
44,new_house,house,regular
45,new_house,house,regular
46,new_house,house,regular
47,new_house,house,regular
48,new_house,house,regular
49,new_house,house,good
50,new_house,house,regular
51,new_house,house,regular
52,new_house,house,regular
53,new_house,apartament,regular
54,new_house,house,regular
55,new_house,house,regular
56,new_house,house,regular
57,new_house,house,regular
58,new_house,house,regular
59,new_house,house,regular
60,new_house,house,regular
61,new_house,house,regular
62,new_house,house,good
63,new_house,house,regular
64,new_house,house,regular
65,new_house,house,good
66,new_house,house,regular
67,new_house,house,regular
68,new_house,house,regular
69,new_house,house,regular
70,new_house,house,regular
71,new_house,house,regular
72,new_house,house,good
73,new_house,house,regular
74,new_house,house,good
75,new_house,house,regular
76,new_house,house,regular
77,new_house,house,regular
78,new_house,house,regular
79,new_house,house,regular
80,new_house,house,regular
81,new_house,house,regular
82,new_house,apartament,regular
83,new_house,house,regular
84,new_house,house,regular
85,new_house,house,regular
86,new_house,house,good
87,new_house,house,regular
88,new_house,apartament,regular
89,new_house,apartament,regular
90,new_house,house,regular
91,new_house,house,regular
92,new_house,house,regular
93,new_house,house,regular
94,new_house,house,regular
95,new_house,house,regular
96,new_house,house,regular
97,new_house,house,regular
98,new_house,house,good
99,new_house,house,regular
100,new_house,house,good
101,new_house,house,regular
102,new_house,house,regular
103,new_house,house,regular
104,new_house,house,regular
105,new_house,house,regular
106,new_house,house,regular
107,new_house,apartament,regular
108,new_house,house,regular
109,new_house,house,regular
110,new_house,house,regular
111,new_house,house,good
112,new_house,house,regular
113,new_house,house,regular
114,new_house,house,regular
115,new_house,house,regular
116,new_house,house,regular
117,new_house,apartament,regular
118,new_house,house,regular
119,new_house,house,regular
120,new_house,house,regular
121,new_house,house,regular
